Unnamed: 0,Rest_type
540,Bakery
541,Bakery
542,Sweet Shop
542,Quick Bites
543,Bakery
544,Dessert Parlor
544,Sweet Shop
545,Dessert Parlor
546,Dessert Parlor
547,Casual Dining
548,Dessert Parlor
549,Sweet Shop
550,Bakery
550,Quick Bites
551,Takeaway
552,Dessert Parlor
553,Casual Dining
554,Casual Dining
555,Casual Dining
556,Quick Bites
557,Casual Dining
557,Cafe
558,Casual Dining
559,Casual Dining
560,Casual Dining
561,Lounge
562,Pub
563,Cafe
564,Casual Dining
565,Cafe
566,Cafe
567,Cafe
568,Cafe
569,Casual Dining
570,Casual Dining
571,Casual Dining
572,Casual Dining
573,Cafe
574,Casual Dining
575,Casual Dining
575,Bar
576,Mess
577,Cafe
577,Casual Dining
578,Cafe
579,Casual Dining
580,Casual Dining
581,Bar
581,Casual Dining
582,Sweet Shop
582,Quick Bites
583,Cafe
584,Cafe
585,Cafe
586,Quick Bites
587,Casual Dining
588,Cafe
589,Casual Dining
590,Cafe
591,Casual Dining
592,Sweet Shop
593,Casual Dining
594,Casual Dining
595,Casual Dining
597,Bar
598,Mess
599,Casual Dining
600,Casual Dining
601,Casual Dining
602,Beverage Shop
602,Quick Bites
603,Quick Bites
604,Casual Dining
605,Casual Dining
606,Casual Dining
607,Quick Bites
608,Casual Dining
609,Bar
610,Quick Bites
611,Casual Dining
612,Cafe
613,Bar
614,Cafe
615,Bar
616,Beverage Shop
616,Quick Bites
617,Casual Dining
618,Casual Dining
619,Quick Bites
620,Casual Dining
621,Casual Dining
622,Beverage Shop
622,Quick Bites
623,Quick Bites
624,Cafe
625,Cafe
626,Casual Dining
627,Beverage Shop
627,Quick Bites
628,Casual Dining
629,Food Truck
630,Casual Dining
631,Casual Dining
632,Quick Bites
633,Quick Bites
634,Quick Bites
635,Quick Bites
636,Quick Bites
637,Quick Bites
638,Quick Bites
639,Quick Bites
640,Quick Bites
641,Quick Bites
642,Quick Bites
643,Quick Bites
644,Quick Bites
645,Quick Bites
646,Quick Bites
647,Quick Bites
648,Quick Bites
649,Quick Bites
650,Quick Bites
651,Quick Bites
652,Quick Bites
653,Quick Bites
654,Quick Bites
655,Quick Bites
656,Quick Bites
657,Quick Bites
658,Quick Bites
659,Quick Bites
660,Quick Bites
661,Quick Bites
662,Quick Bites
663,Quick Bites
664,Quick Bites
665,Quick Bites
666,Quick Bites
667,Quick Bites
668,Quick Bites
669,Quick Bites
670,Quick Bites
671,Quick Bites
672,Quick Bites
673,Quick Bites
674,Quick Bites
675,Quick Bites
676,Quick Bites
677,Quick Bites
678,Quick Bites
679,Quick Bites
680,Quick Bites
681,Quick Bites
682,Quick Bites
683,Quick Bites
684,Quick Bites
685,Quick Bites
686,Quick Bites
687,Quick Bites
688,Quick Bites
689,Quick Bites
690,Quick Bites
691,Quick Bites
692,Quick Bites
693,Quick Bites
694,Quick Bites
695,Quick Bites
696,Quick Bites
697,Quick Bites
698,Quick Bites
699,Quick Bites
700,Quick Bites
701,Quick Bites
702,Quick Bites
703,Quick Bites
704,Quick Bites
705,Quick Bites
706,Quick Bites
707,Quick Bites
708,Quick Bites
709,Quick Bites
710,Quick Bites
711,Quick Bites
712,Quick Bites
713,Quick Bites
714,Quick Bites
715,Quick Bites
716,Quick Bites
717,Quick Bites
718,Quick Bites
719,Quick Bites
720,Quick Bites
721,Quick Bites
722,Quick Bites
723,Quick Bites
724,Quick Bites
725,Quick Bites
726,Quick Bites
727,Quick Bites
728,Quick Bites
729,Quick Bites
730,Quick Bites
731,Quick Bites
732,Quick Bites
733,Quick Bites
734,Quick Bites
735,Quick Bites
736,Quick Bites
737,Quick Bites
738,Quick Bites
739,Quick Bites
740,Quick Bites
741,Quick Bites
742,Quick Bites
743,Quick Bites
744,Quick Bites
745,Quick Bites
746,Quick Bites
747,Quick Bites
748,Quick Bites
748,Beverage Shop
749,Quick Bites
750,Quick Bites
751,Quick Bites
752,Quick Bites
753,Quick Bites
754,Quick Bites
755,Quick Bites
756,Quick Bites
757,Quick Bites
758,Quick Bites
758,Bakery
760,Quick Bites
761,Quick Bites
762,Quick Bites
763,Quick Bites
764,Quick Bites
765,Quick Bites
766,Quick Bites
767,Casual Dining
768,Casual Dining
769,Quick Bites
770,Casual Dining
771,Casual Dining
772,Casual Dining
773,Casual Dining
774,Casual Dining
775,Quick Bites
776,Quick Bites
777,Casual Dining
778,Casual Dining
778,Cafe
779,Pub
780,Quick Bites
781,Casual Dining
781,Bar
782,Quick Bites
783,Quick Bites
784,Casual Dining
785,Cafe
786,Quick Bites
787,Quick Bites
788,Casual Dining
789,Casual Dining
790,Casual Dining
791,Casual Dining
792,Casual Dining
793,Quick Bites
794,Quick Bites
795,Quick Bites
796,Quick Bites
797,Casual Dining
798,Quick Bites
799,Quick Bites
800,Quick Bites
801,Quick Bites
802,Quick Bites
803,Quick Bites
804,Quick Bites
805,Quick Bites
806,Quick Bites
807,Quick Bites
808,Casual Dining
809,Casual Dining
810,Quick Bites
811,Quick Bites
812,Quick Bites
813,Casual Dining
814,Casual Dining
815,Quick Bites
816,Quick Bites
817,Casual Dining
818,Quick Bites
819,Quick Bites
820,Quick Bites
821,Quick Bites
822,Quick Bites
823,Casual Dining
824,Casual Dining
825,Quick Bites
826,Quick Bites
827,Quick Bites
828,Quick Bites
829,Casual Dining
829,Bar
830,Food Truck
831,Casual Dining
832,Casual Dining
833,Casual Dining
834,Quick Bites
835,Quick Bites
836,Quick Bites
837,Quick Bites
838,Quick Bites
839,Quick Bites
840,Quick Bites
841,Quick Bites
842,Quick Bites
843,Quick Bites
844,Quick Bites
845,Quick Bites
846,Quick Bites
847,Quick Bites
848,Quick Bites
849,Quick Bites
850,Quick Bites
851,Quick Bites
852,Quick Bites
853,Quick Bites
854,Quick Bites
855,Lounge
856,Pub
857,Bar
857,Casual Dining
858,Bar
859,Bar
860,Bar
861,Bar
862,Pub
863,Pub
864,Casual Dining
865,Casual Dining
866,Casual Dining
867,Casual Dining
868,Casual Dining
869,Casual Dining
870,Casual Dining
871,Casual Dining
872,Casual Dining
873,Casual Dining
874,Casual Dining
875,Cafe
876,Casual Dining
877,Casual Dining
878,Casual Dining
879,Casual Dining
880,Cafe
881,Cafe
882,Cafe
883,Cafe
884,Cafe
885,Cafe
886,Food Court
887,Cafe
888,Cafe
889,Cafe
890,Cafe
890,Bakery
891,Cafe
892,Dessert Parlor
893,Cafe
894,Cafe
894,Casual Dining
895,Quick Bites
895,Cafe
896,Cafe
897,Cafe
898,Cafe
898,Casual Dining
899,Cafe
900,Delivery
901,Quick Bites
902,Cafe
903,Cafe
904,Cafe
