Unnamed: 0,Dish_liked
186,Biryani
187,Not Provided
188,Paratha
188,Vada Pav
188,Chaat
188,Pav Bhaji
188,Panipuri
188,Masala Poori
188,Dhokla
189,Not Provided
190,Whole Meat Shawarma
190,Fries
191,Panneer Butter Masala
191,Lassi
191,Paratha
191,Jeera Rice
191,Paneer Parantha
191,Bhindi Fry
191,Veg Kolhapuri
192,Not Provided
193,Waffles
193,Pasta
193,Crispy Chicken
193,Honey Chilli Chicken
193,Sandwich
193,Coffee
193,Crepe
194,Masala Papad
194,Paneer Satay
194,Vegetable Biryani
194,Panneer Butter Masala
194,Tomato Soup
194,Manchow Soup
194,Roti
195,Shawarma
195,Biryani
195,Bbq Chicken
195,Chicken Grill
195,Raita
196,Not Provided
197,Not Provided
198,Jowar Roti
198,Buttermilk
198,Sabudana Vada
198,Thali
198,Mirchi Bajji
198,Brinjal Curry
199,Burgers
199,Caramel Milkshake
199,Iced Coffee
199,Iced Tea
200,Supreme Pizza
200,Potato Wedges
200,Masala Lemonade
200,Tandoori Paneer
200,Exotic Garlic Bread
201,Neer Dosa
201,Sea Food
201,Ghee Rice
201,Marwai Sukka
201,Egg Biryani
201,Kori Roti
201,Thai Fish
202,Not Provided
203,White Pasta
203,Noodles
203,Babycorn Manchurian
203,Pizza
203,Veg Momos
203,Fry Momos
203,Tawa Pulav
204,Masala Dosa
204,Sandwiches
204,Coffee
204,Onion Dosa
204,Rava Dosa
204,Chaat
204,Sandwich
205,French Fries
205,Burgers
206,Paratha
206,Boondi Raita
206,Roti
206,Kulfi
206,Panneer Butter Masala
206,Sweet Lassi
206,Dal Tadka
207,Veg Momos
207,Brownie Chocolate
207,Palak Chaat
207,Mutton Biryani
207,Dahipuri
207,Fish
207,Sea Food
208,Noodles
208,Pasta
208,Schezwan Momos
208,Chicken Momo
208,Teriyaki Chicken
208,Thukpa
208,Fries
209,Spring Roll
209,Manchow Soup
209,Babycorn Manchurian
209,Mint Cooler
209,Roti
209,Panneer Butter Masala
210,Biryani
211,Pho
211,Papaya Salad
211,Coffee
211,Veg Momos
211,Rolls
212,Waffles
212,Pasta
212,Coleslaw Sandwich
212,Choco Waffle
212,Tacos
212,Momos
212,Cheese Nachos
213,Not Provided
214,Not Provided
215,Not Provided
216,Not Provided
217,Pizza
217,Pasta
217,Salads
217,Calamari
217,Ravioli
217,Pumpkin Soup
217,Wine
218,Not Provided
219,Nachos
219,Cup Cake
219,Hot Chocolate Fudge
219,Salsa
219,Cheesy Garlic Bread
219,Waffles
219,Tiramisu
220,Lime Soda
220,Manchow Soup
220,Biryani
220,Lemon Chicken
220,Tomato Soup
220,Butter Naan
220,Chilli Chicken
221,Murgh Ghee Roast
221,Fish Fry
221,Ghee Roast Paneer
221,Neer Dosa
221,Appam
221,Sea Food
221,Chicken Sukha
222,Not Provided
223,Ragi Mudde
223,Lemon Chicken
223,Chilli Chicken
223,Chicken Curry
223,Mutton Chops
223,Mutton Biryani
224,Not Provided
225,Not Provided
226,Pasta
226,Potato Fries
226,Potato Wedges
226,Hot Chocolate
226,Chaat
226,Filter Coffee
226,Americano
227,Sweet Lassi
227,Gulab Jamun
227,Palak Paneer Paratha
227,Paneer Parantha
228,Pizza
228,White Sauce Pasta
228,Masala Garlic Bread
229,Burgers
229,Fries
229,Mojito
229,Chicken Burger
230,Paratha
230,Sandwich
230,Chilli Idli
230,Noodles
230,Sandwiches
230,Lime Soda
231,Chicken Biryani
231,Mutton Biryani
231,Egg Biryani
231,Chicken Fry
231,Mutton Fry
232,Not Provided
233,Not Provided
234,Not Provided
235,Chaat
235,Brownie
235,Onion Rings
235,Tomato Soup
235,Paneer Manchurian
235,Thali
235,Faluda
236,Not Provided
237,Sandwiches
237,Chocolate Sandwich
237,Chaat
237,Veg Cheese Sandwich
237,Chilli Cheese
237,Corn Sandwich
238,Not Provided
239,Not Provided
240,Not Provided
241,Not Provided
242,Not Provided
243,Not Provided
244,Not Provided
245,Not Provided
246,Not Provided
247,Not Provided
248,Prawn Biryani
248,Andhra Meal
248,Veg Thali
248,Fry Piece Biryani
248,Gongura Chicken
248,Paratha
249,Not Provided
250,Not Provided
251,Veggie Delight
251,Paneer Tikka
251,Salad
252,Not Provided
253,Faluda
253,Brownie
253,Sandwich
253,Kulfi
253,Fruit Salad
253,Sweet Lassi
253,Chocolate Fudge
254,Not Provided
255,Pav Bhaji
255,Masala Dosa
255,Idli Vada
255,Filter Coffee
255,Pongal
255,Curd Rice
255,Kesari Bath
256,Roti
256,Masala Dosa
257,Onion Rings
257,Pasta
257,Kadhai Paneer
257,Salads
257,Salad
257,Roti
257,Jeera Rice
258,Masala Papad
258,Paneer Satay
258,Paneer Hyderabadi
258,Butter Naan
258,Roti
259,Stuffed Mushroom
259,Chicken Biryani
259,Jal-jeera
260,Not Provided
261,Not Provided
262,Filter Coffee
262,Tea
262,Hot Coffee
262,Hatti Samosa
263,Not Provided
264,Masala Dosa
265,Badam Milk
265,Potato Twister
265,Pav Bhaji
265,Panipuri
265,Tikki Chaat
265,Cheese Cutlet
266,Not Provided
267,Not Provided
268,Pasta
268,Iced Tea
269,Not Provided
270,Not Provided
271,Roti
271,Butter Kulcha
271,Fried Rice
271,Tomato Soup
271,Curd Rice
271,Lunch Buffet
271,Paneer Tikka
272,Not Provided
273,Not Provided
274,Chicken Biryani
275,Chicken Biryani
275,Ragi Mudde
275,Mutton Chops
276,Not Provided
277,Masala Dosa
277,Coffee
278,Cocktails
278,Paneer Tikka
278,Rasmalai
278,Rabri
278,Masala Papad
278,Vegetable Biryani
278,Chicken Curry
279,Garlic Bread
279,Burgers
279,Sandwiches
279,Pizza
279,Hot Chocolate Fudge
279,Waffles
279,Potato Wedges
280,Not Provided
281,Not Provided
282,Veggie Pizza
282,Garlic Bread
282,Lava Cake
282,Chocolava
282,Spicy Paneer
283,Not Provided
284,Kharabath
284,Crispy Vada
284,Filter Coffee
284,Idli Vada
284,Idli Chutney
284,Kesari Bath
284,Gulab Jamun
285,Noodles
285,Veg Momos
285,Chowmein
285,Schezwan Fried Rice
285,Clear Soup
285,Sweet Corn Soup
285,Chicken Wings
286,Not Provided
287,Not Provided
288,Not Provided
289,Not Provided
290,Veg Thali
290,Matka Kulfi
290,Pongal
290,Buttermilk
290,Vada
290,Ragi Mudde
290,Curd Rice
291,Coffee
291,Sandwich
291,Hot Chocolate
291,Ice Tea
291,Sandwiches
291,Chicken Lasagne
291,Pizza
292,Jowar Roti
292,Buttermilk
292,Jolada Rotti
292,Brinjal Curry
292,Coffee
292,Pongal
292,Vegetable Biryani
293,Pizza
293,Garlic Bread
294,Sweet Pongal
294,Mini Idlis
294,Filter Coffee
294,Open Masala Dosa
294,Pakoda
294,Vada
294,Raagi Dosa
295,Paratha
295,Coffee
295,Halwa
295,Lassi
296,Vegetable Biryani
296,Pineapple Rasam
296,Cheese Garlic Naan
296,Potato Cheese Ball
296,Bamboo Chicken Biryani
296,Chicken Skewer
296,Fish
297,Not Provided
298,Malai Kofta
298,Sandwich
298,Naan
299,Momos
299,Lunch Buffet
299,Chocolate Nirvana
299,Thai Green Curry
299,Paneer Tikka
299,Dum Biryani
299,Chicken Biryani
300,Not Provided
301,Coffee
301,Masala Dosa
302,Not Provided
303,Sea Food
303,Neer Dosa
303,Anjal Masala Fry
303,Coconut Pudding
303,Chicken Biryani
303,Roti
303,Fish Curry
304,Tandoori Chicken
304,Rolls
305,Pasta
305,Nachos
305,Jalapeno Poppers
305,Burrito Bowl
305,Ferrero Rocher Shake
305,Falafal Sandwich
305,Banana Waffles
306,Not Provided
307,Pizza
307,Mocktails
307,Coffee
307,Nachos
307,Salad
307,Pasta
307,Sandwiches
308,Aloo Paratha
309,Rava Dosa
310,Momos
310,Mushroom Bruschettas
310,Jalapeno Cheeseballs
310,Pasta
310,Red Velvet Shake
310,Red Velvet Milkshake
310,Maggi
311,Pesto Pizza
312,Not Provided
313,Sandwiches
313,Noodles
313,Sandwich
314,Lasagne
314,Steak
314,Masala Quesadilla
314,Garlic Bread
315,Breakfast Buffet
315,Kulcha
315,Almond Soup
315,Lunch Buffet
315,Roti
315,Mocktails
315,Vegetarian
316,Hara Bhara Kabab
316,Crispy Corn
316,Patiala Paneer
316,Panneer Butter Masala
316,Dum Biryani
316,Jal-jeera
316,Butter Naan
317,Waffles
317,Cup Cake
317,Chocolate Cake
318,Not Provided
319,Not Provided
320,Not Provided
321,Not Provided
322,Waffles
323,Momos
323,Burgers
323,Rolls
323,Sandwich
323,Hot Chocolate
323,Tea
323,Naga Thali
324,Not Provided
325,Not Provided
326,Not Provided
327,Not Provided
328,Not Provided
329,Not Provided
330,Freak Shake
330,Fries
330,Pasta Alfredo
331,Not Provided
332,Not Provided
333,Butter Chicken
333,Chicken Grill
333,Tandoori Chicken
333,Noodles
333,Biryani
333,Fried Rice Chicken
334,Pizza
334,Pasta
334,Nachos
334,Burgers
334,Sandwich
334,Tea
334,Cheese Balls
335,Masala Chai
335,Coffee
335,Masala Tea
335,Maggi
336,Pasta
336,Gelato
336,Garlic Bread
336,Mojito
336,Nachos
336,Paneer Pizza
336,Mocktails
337,Not Provided
338,Salad
338,Mocktails
338,Chocolava
338,Pesto Pasta
338,Momos
338,Jasmine Rice
338,Tom Yum Soup
339,Vada
339,Masala Dosa
339,Idli
340,Not Provided
341,Not Provided
342,Coffee
342,Masala Dosa
342,Vegetable Biryani
343,Not Provided
344,Not Provided
345,Not Provided
346,Pasta
346,Pizza
346,Burgers
346,Pancakes
346,Garlic Bread
347,Not Provided
348,Not Provided
349,Not Provided
350,Maggi
350,Pasta
350,Burgers
350,Sandwiches
350,Fries
351,Sea Food
351,Neer Dosa
352,Not Provided
353,Not Provided
354,Not Provided
355,Pizza
356,Not Provided
357,Brownie
